States,year,quarter,brand,user_counts,percentage
Arunachal Pradesh,2019,2,OnePlus,1251,1%
Arunachal Pradesh,2019,2,Huawei,1175,1%
Arunachal Pradesh,2019,2,Others,7172,7%
Arunachal Pradesh,2019,3,Xiaomi,27394,24%
Arunachal Pradesh,2019,3,Vivo,22731,20%
Arunachal Pradesh,2019,3,Samsung,22720,20%
Arunachal Pradesh,2019,3,Oppo,16262,15%
Arunachal Pradesh,2019,3,Realme,6477,6%
Arunachal Pradesh,2019,3,Apple,2509,2%
Arunachal Pradesh,2019,3,Gionee,1800,2%
Arunachal Pradesh,2019,3,Motorola,1561,1%
Arunachal Pradesh,2019,3,OnePlus,1390,1%
Arunachal Pradesh,2019,3,Huawei,1377,1%
Arunachal Pradesh,2019,3,Others,7928,7%
Arunachal Pradesh,2019,4,Xiaomi,31369,24%
Arunachal Pradesh,2019,4,Vivo,26787,21%
Arunachal Pradesh,2019,4,Samsung,26087,20%
Arunachal Pradesh,2019,4,Oppo,19208,15%
Arunachal Pradesh,2019,4,Realme,7743,6%
Arunachal Pradesh,2019,4,Apple,2811,2%
Arunachal Pradesh,2019,4,Gionee,1983,2%
Arunachal Pradesh,2019,4,Motorola,1637,1%
Arunachal Pradesh,2019,4,Huawei,1581,1%
Arunachal Pradesh,2019,4,OnePlus,1535,1%
Arunachal Pradesh,2019,4,Others,8580,7%
Arunachal Pradesh,2020,1,Xiaomi,35625,24%
Arunachal Pradesh,2020,1,Vivo,31742,21%
Arunachal Pradesh,2020,1,Samsung,29807,20%
Arunachal Pradesh,2020,1,Oppo,22566,15%
Arunachal Pradesh,2020,1,Realme,9351,6%
Arunachal Pradesh,2020,1,Apple,3135,2%
Arunachal Pradesh,2020,1,Gionee,2068,1%
Arunachal Pradesh,2020,1,Huawei,1768,1%
Arunachal Pradesh,2020,1,Motorola,1742,1%
Arunachal Pradesh,2020,1,OnePlus,1696,1%
Arunachal Pradesh,2020,1,Others,9566,6%
Arunachal Pradesh,2020,2,Xiaomi,41662,23%
Arunachal Pradesh,2020,2,Vivo,39089,22%
Arunachal Pradesh,2020,2,Samsung,34984,20%
Arunachal Pradesh,2020,2,Oppo,27629,16%
Arunachal Pradesh,2020,2,Realme,11596,7%
Arunachal Pradesh,2020,2,Apple,3398,2%
Arunachal Pradesh,2020,2,Gionee,2355,1%
Arunachal Pradesh,2020,2,Huawei,2019,1%
Arunachal Pradesh,2020,2,Motorola,1873,1%
Arunachal Pradesh,2020,2,OnePlus,1809,1%
Arunachal Pradesh,2020,2,Others,11120,6%
Arunachal Pradesh,2020,3,Xiaomi,47870,23%
Arunachal Pradesh,2020,3,Vivo,46799,23%
Arunachal Pradesh,2020,3,Samsung,40403,20%
Arunachal Pradesh,2020,3,Oppo,32287,16%
Arunachal Pradesh,2020,3,Realme,13982,7%
Arunachal Pradesh,2020,3,Apple,3738,2%
Arunachal Pradesh,2020,3,Gionee,2514,1%
Arunachal Pradesh,2020,3,Huawei,2276,1%
Arunachal Pradesh,2020,3,Motorola,1997,1%
Arunachal Pradesh,2020,3,OnePlus,1965,1%
Arunachal Pradesh,2020,3,Others,12215,6%
Arunachal Pradesh,2020,4,Vivo,53198,23%
Arunachal Pradesh,2020,4,Xiaomi,53097,23%
Arunachal Pradesh,2020,4,Samsung,45317,20%
Arunachal Pradesh,2020,4,Oppo,36466,16%
Arunachal Pradesh,2020,4,Realme,16419,7%
Arunachal Pradesh,2020,4,Apple,4188,2%
